City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Guanare,99,VE,1594101899,96,9.04,-69.74,72.86,2.1
Izumo,75,JP,1594101899,88,35.37,132.77,77.0,1.12
Bluff,94,NZ,1594101498,83,-46.6,168.33,39.0,3.0
Anadyr,75,RU,1594101560,87,64.75,177.48,48.2,2.24
Ushuaia,75,AR,1594101498,69,-54.8,-68.3,35.6,5.82
Hermanus,78,ZA,1594101504,75,-34.42,19.23,53.01,1.01
New Norfolk,2,AU,1594101517,80,-42.78,147.06,48.0,1.23
Nikolskoye,85,RU,1594101513,77,59.7,30.79,64.0,2.24
Aklavik,20,CA,1594101517,76,68.22,-135.01,48.2,10.29
Chui,97,UY,1594101506,79,-33.7,-53.46,45.86,5.7
Jamestown,1,US,1594101501,88,42.1,-79.24,68.0,2.04
Port Alfred,47,ZA,1594101510,75,-33.59,26.89,63.0,11.01
Punta Arenas,26,CL,1594101497,92,-53.15,-70.92,24.8,5.82
Vaini,75,TO,1594101500,88,-21.2,-175.2,77.0,9.17
Kapaa,40,US,1594101500,74,22.08,-159.32,78.8,10.29
Tomari,88,RU,1594101900,63,47.77,142.07,70.11,2.24
Bogorodskoye,0,RU,1594101712,69,56.55,37.88,75.47,8.39
Mataura,91,NZ,1594101498,83,-46.19,168.86,39.0,3.0
Balaka,61,MW,1594101901,62,-14.98,34.96,66.74,2.08
Waingapu,34,ID,1594101519,67,-9.66,120.26,82.0,18.48
Saint-Philippe,90,RE,1594101503,94,-21.36,55.77,73.4,18.34
Alice Springs,0,AU,1594101383,29,-23.7,133.88,60.8,8.05
São Filipe,78,CV,1594101513,80,14.9,-24.5,73.63,4.43
Yellowknife,20,CA,1594101532,54,62.46,-114.35,59.0,12.75
Butaritari,7,KI,1594101519,75,3.07,172.79,83.37,11.36
Avera,90,US,1594101520,95,33.19,-82.53,73.4,8.05
Mar del Plata,90,AR,1594101444,81,-38.0,-57.56,45.0,3.36
East London,61,ZA,1594101507,77,-33.02,27.91,59.0,17.22
Puerto Ayora,82,EC,1594101503,97,-0.74,-90.35,66.99,7.92
North Bend,90,US,1594101902,77,43.41,-124.22,59.0,3.36
Port Blair,100,IN,1594101902,78,11.67,92.75,82.44,9.84
Provideniya,90,RU,1594101507,93,64.38,-173.3,44.6,11.18
Barrow,90,US,1594101503,81,71.29,-156.79,35.6,17.22
Koshurnikovo,95,RU,1594101902,76,54.17,93.3,69.46,5.73
Buala,37,SB,1594101508,70,-8.14,159.59,83.61,4.76
Hilo,90,US,1594101266,65,19.73,-155.09,80.6,4.7
Albany,20,US,1594101487,69,42.6,-73.97,75.2,9.17
Atuona,2,PF,1594101520,72,-9.8,-139.03,79.93,10.69
Mount Isa,0,AU,1594101613,13,-20.73,139.5,77.0,6.93
Loreto,35,MX,1594101754,49,22.27,-101.97,68.11,12.53
Akoupé,100,CI,1594101903,93,6.39,-3.9,72.63,3.78
Lebu,77,CL,1594101521,72,-37.62,-73.65,43.47,7.94
Ulladulla,75,AU,1594101903,62,-35.35,150.47,59.0,10.29
Bredasdorp,49,ZA,1594101507,71,-34.53,20.04,55.4,8.05
Hervey Bay,3,AU,1594101696,66,-25.3,152.85,69.01,5.99
Kieta,94,PG,1594101520,73,-6.22,155.63,82.92,4.94
Cherskiy,27,RU,1594101518,43,68.75,161.3,65.14,11.86
Boende,85,CD,1594101904,83,-0.22,20.87,73.36,1.23
Ilebo,95,CD,1594101904,48,-4.32,20.58,73.8,1.07
Poum,100,NC,1594101556,65,-20.23,164.02,70.93,7.67
Kvareli,0,GE,1594101904,21,41.95,45.82,87.64,5.1
Zaysan,100,KZ,1594101904,46,47.47,84.87,72.32,8.41
Vao,99,NC,1594101904,77,-22.67,167.48,69.39,15.43
Busselton,99,AU,1594101500,74,-33.65,115.33,59.0,1.01
Waipawa,19,NZ,1594101905,66,-41.41,175.52,53.6,11.41
Faanui,44,PF,1594101509,79,-16.48,-151.75,78.8,13.33
Avarua,98,CK,1594101304,83,-21.21,-159.78,71.6,13.87
Tuatapere,100,NZ,1594101513,83,-46.13,167.68,39.0,3.0
Klaksvík,95,FO,1594101509,81,62.23,-6.59,44.6,18.34
Severo-Kuril'sk,15,RU,1594101508,82,50.68,156.12,55.49,4.81
Iqaluit,90,CA,1594101498,76,63.75,-68.51,48.2,0.16
Yangi Marg`ilon,0,UZ,1594101905,26,40.43,71.72,84.2,9.17
Faya,46,SA,1594101518,41,18.39,42.45,78.8,3.11
Luganville,90,VU,1594101906,83,-15.53,167.17,78.8,8.05
Wau,77,SS,1594101906,90,7.7,28.0,73.2,5.44
Yuzawa,75,JP,1594101906,100,39.17,140.5,77.0,4.7
Chicama,100,PE,1594101906,83,-7.84,-79.15,61.95,6.08
Tuktoyaktuk,75,CA,1594101511,93,69.45,-133.04,41.0,9.17
Tiarei,75,PF,1594101906,83,-17.53,-149.33,77.0,6.93
Karlovo,40,BG,1594101633,83,42.63,24.8,75.99,6.93
Saint Paul Harbor,90,US,1594101499,93,57.79,-152.41,53.6,5.91
Murovani Kurylivtsi,44,UA,1594101907,83,48.72,27.52,64.0,13.0
Beira,20,MZ,1594101907,93,-19.84,34.84,60.8,6.93
Hobart,75,AU,1594101291,57,-42.88,147.33,48.2,8.05
Rumonge,80,BI,1594101907,53,-3.97,29.44,76.73,1.39
Abadan,0,TM,1594101907,18,38.05,58.21,89.6,6.93
Kaitangata,97,NZ,1594101500,73,-46.28,169.85,46.0,8.99
Lázaro Cárdenas,96,MX,1594101397,75,17.96,-102.2,80.92,2.86
Rikitea,99,PF,1594101500,81,-23.12,-134.97,72.82,11.77
Flinders,4,AU,1594101907,64,-34.58,150.86,60.01,5.01
Port Hardy,90,CA,1594101557,76,50.7,-127.42,57.2,5.82
Sarangani,98,PH,1594101908,77,5.4,125.46,83.25,15.08
Longyearbyen,75,SJ,1594101512,71,78.22,15.64,51.8,20.8
Sungai Penuh,93,ID,1594101908,77,-2.08,101.38,76.66,1.81
Alim,86,PH,1594101908,66,9.56,122.49,88.95,5.21
Vanderhoof,99,CA,1594101739,79,54.02,-124.02,54.5,4.92
Qaanaaq,0,GL,1594101527,65,77.48,-69.36,41.83,1.48
Tasiilaq,2,GL,1594101499,93,65.61,-37.64,37.4,6.93
Todos Santos,14,MX,1594101909,86,23.45,-110.22,73.99,3.31
Dokri,92,PK,1594101909,25,27.37,68.1,106.14,5.59
Arraial do Cabo,0,BR,1594101527,90,-22.97,-42.03,71.46,10.02
Norman Wells,75,CA,1594101510,71,65.28,-126.83,53.6,11.41
Alvorada,0,BR,1594101909,53,-12.48,-49.12,67.68,3.02
Esmeraldas,0,BR,1594101909,87,-19.76,-44.31,59.0,2.24
Shar,70,KZ,1594101910,40,49.59,81.05,77.52,7.07
Kristianstad,39,SE,1594101910,76,56.03,14.15,55.4,16.11
Broome,1,US,1594101536,82,42.25,-75.83,66.2,6.93
Biak,64,ID,1594101910,75,-0.91,122.88,81.39,8.93
Cabo San Lucas,20,MX,1594101514,51,22.89,-109.91,84.99,1.99
Airai,68,TL,1594101545,85,-8.93,125.41,66.81,4.97
Lavrentiya,61,RU,1594101526,86,65.58,-171.0,46.26,9.37
Sept-Îles,20,CA,1594101443,93,50.2,-66.38,46.4,2.24
Port Elizabeth,40,ZA,1594101504,77,-33.92,25.57,60.8,32.21
San Quintín,0,MX,1594101512,78,30.48,-115.95,67.28,7.9
George Town,20,MY,1594101505,79,5.41,100.34,86.0,8.05
Karratha,0,AU,1594101911,18,-20.74,116.85,80.89,15.82
Stornoway,75,GB,1594101519,93,58.21,-6.39,51.01,5.82
Sakakah,0,SA,1594101911,36,29.97,40.21,80.6,18.34
Bandarbeyla,9,SO,1594101501,46,9.49,50.81,86.83,31.68
Altamont,1,US,1594101911,47,42.21,-121.74,55.4,9.17
Sapa,93,PH,1594101912,75,5.15,120.32,83.34,7.65
Ust-Nera,93,RU,1594101912,41,64.57,143.2,66.51,2.8
Castro,71,BR,1594101426,97,-24.79,-50.01,56.59,4.29
Cidreira,100,BR,1594101514,85,-30.18,-50.21,56.12,13.18
Canalete,64,CO,1594101912,93,8.68,-76.2,75.22,4.41
Castro Urdiales,75,ES,1594101912,93,43.38,-3.22,62.01,3.36
Kavieng,36,PG,1594101912,75,-2.57,150.8,84.02,10.78
Fort Dodge,1,US,1594101913,88,42.5,-94.17,73.99,6.89
Vestmannaeyjar,42,IS,1594101550,86,63.44,-20.27,51.13,9.13
Zhangjiakou,0,CN,1594101913,24,40.81,114.88,86.0,4.76
Carnarvon,39,AU,1594101513,43,-24.87,113.63,71.6,17.22
Grindavik,91,IS,1594101553,100,63.84,-22.43,46.4,2.24
Omboué,86,GA,1594101913,88,-1.57,9.26,72.68,5.61
Saskylakh,24,RU,1594101524,39,71.92,114.08,63.84,12.01
Brae,75,GB,1594101541,76,60.4,-1.35,48.2,17.22
Mossamedes,0,AO,1594101913,69,-15.2,12.15,66.16,6.15
Ha Giang,100,VN,1594101914,56,22.83,104.98,92.64,5.46
Santiago,75,CL,1594101914,93,-33.46,-70.65,42.8,4.7
Esperance,2,AU,1594101507,67,-33.87,121.9,62.6,14.99
Rio Pardo,100,BR,1594101681,81,-29.99,-52.38,51.22,7.34
Bratsk,40,RU,1594101914,73,56.13,101.61,73.4,6.71
Morros,0,BR,1594101914,52,-9.45,-46.3,67.71,4.7
Ciudad del Carmen,72,MX,1594101711,75,18.63,-91.83,82.36,13.06
Norman,1,US,1594101915,88,35.22,-97.44,73.0,4.7
Dalvik,32,IS,1594101555,100,65.97,-18.53,33.8,1.79
Namatanai,43,PG,1594101551,78,-3.67,152.43,82.65,9.69
Praia,20,CV,1594101732,83,14.92,-23.51,75.2,5.82
Julfa,20,AZ,1594101915,20,38.96,45.63,84.2,4.7
Lodwar,95,KE,1594101915,52,3.12,35.6,78.75,9.55
Naze,75,JP,1594101916,89,28.37,129.48,86.0,14.99
Maturin,71,VE,1594101916,97,9.75,-63.18,73.83,2.86
Aktas,75,KZ,1594101916,41,49.78,72.96,75.2,6.71
Bezhanitsy,100,RU,1594101916,89,56.98,29.89,57.52,4.97
Gizo Government Station,84,SB,1594101559,75,-8.1,156.84,83.16,8.01
Yala,20,TH,1594101916,62,6.33,101.25,89.6,8.05
Nanortalik,94,GL,1594101530,83,60.14,-45.24,40.39,1.88
Moengo,47,SR,1594101917,98,5.62,-54.4,72.57,2.1
Mattawa,1,US,1594101917,40,46.74,-119.9,69.8,6.93
San Jerónimo,99,PE,1594101560,75,-11.95,-75.28,46.44,0.34
Phan Thiet,15,VN,1594101917,66,10.93,108.1,86.47,6.06
Rantauprapat,100,ID,1594101917,86,2.1,99.83,83.03,1.95
Pueblo Nuevo,97,MX,1594101917,100,23.38,-105.38,62.62,1.86
Fray Bentos,68,UY,1594101917,88,-33.13,-58.3,38.91,8.28
Tromsø,75,NO,1594101539,87,69.65,18.96,48.2,20.8
Nantucket,90,US,1594101897,87,41.28,-70.1,60.8,8.05
Shingū,75,JP,1594101918,100,33.73,135.98,77.0,9.17
Umeå,75,SE,1594101918,87,63.83,20.26,54.0,8.05
Talnakh,40,RU,1594101537,52,69.49,88.4,69.8,6.71
Plettenberg Bay,50,ZA,1594101918,73,-34.05,23.37,57.52,16.84
Severodvinsk,20,RU,1594101918,59,64.56,39.83,66.2,8.95
Marzuq,87,YE,1594101525,42,14.4,46.47,83.93,6.35
Rawson,0,AR,1594101918,78,-43.3,-65.1,38.55,13.2
Geraldton,17,AU,1594101534,59,-28.77,114.6,66.2,5.82
Chingirlau,13,KZ,1594101919,41,51.09,54.08,86.63,5.28
Susuman,54,RU,1594101919,35,62.78,148.17,67.41,10.96
Haines Junction,86,CA,1594101919,55,60.75,-137.51,55.65,5.14
Hasaki,75,JP,1594101529,83,35.73,140.83,82.4,18.34
Dwārka,100,IN,1594101919,82,22.24,68.97,83.14,21.52
Saint-Augustin,58,CA,1594101919,78,51.23,-58.65,55.29,6.58
Padang,67,ID,1594101919,68,-0.95,100.35,84.61,5.17
Khatanga,91,RU,1594101512,60,71.97,102.5,52.84,15.55
Kabinda,29,CD,1594101920,42,-6.13,24.48,68.77,3.74
Santa Maria,100,BR,1594101449,82,-29.68,-53.81,48.29,9.93
Hobyo,100,SO,1594101920,62,5.35,48.53,83.1,20.83
Yumen,69,CN,1594101536,13,40.28,97.2,91.02,12.35
Dingle,33,PH,1594101546,64,11.0,122.67,89.17,10.6
College,75,US,1594101920,60,64.86,-147.8,70.0,3.36
Sitka,90,US,1594101518,82,57.05,-135.33,55.4,6.93
Bojnourd,0,IR,1594101881,17,37.47,57.33,78.8,4.7
Itarema,38,BR,1594101920,92,-2.92,-39.92,74.37,8.14
Cape Town,40,ZA,1594101212,66,-33.93,18.42,55.4,3.36
Vardø,75,NO,1594101921,87,70.37,31.11,48.2,17.22
Córdoba,96,AR,1594101921,70,-31.41,-64.18,45.0,3.36
Hong Kong,100,HK,1594101524,69,22.29,114.16,91.99,15.01
Beyneu,0,KZ,1594101921,15,45.32,55.2,99.3,7.85
Atambua,38,ID,1594101921,65,-9.11,124.89,79.84,3.38
Camacha,40,PT,1594101550,82,33.08,-16.33,68.0,17.22
Yining,99,CN,1594101921,88,29.04,114.56,82.45,1.52
San Patricio,98,MX,1594101531,87,19.22,-104.7,79.83,2.53
Maués,20,BR,1594101922,87,-3.38,-57.72,73.4,0.38
Robertson,89,US,1594101922,38,36.52,-86.87,77.0,2.39
Santa Rita do Sapucaí,4,BR,1594101678,84,-22.25,-45.7,57.99,1.63
Narni,0,IT,1594101922,56,42.52,12.52,73.99,4.21
Swellendam,89,ZA,1594101922,71,-34.02,20.44,55.4,8.05
La Sarre,79,CA,1594101922,89,48.8,-79.2,65.14,8.34
Souillac,75,MU,1594101533,88,-20.52,57.52,75.2,6.93
Kahului,40,US,1594101293,54,20.89,-156.47,82.4,13.87
Sobolevo,7,RU,1594101923,87,54.43,31.9,70.9,6.69
Lüderitz,96,NA,1594101524,76,-26.65,15.16,53.6,13.87
Escalerillas,20,MX,1594101763,68,22.13,-101.07,66.2,11.41
Anloga,40,GH,1594101923,88,5.79,0.9,77.0,10.29
Lethem,76,GY,1594101923,90,3.38,-59.8,73.76,4.79
Lompoc,0,US,1594101517,87,34.64,-120.46,55.4,10.29
Ponta do Sol,20,PT,1594101511,82,32.67,-17.1,69.01,3.36
Richmond,75,US,1594101675,78,37.55,-77.46,81.0,5.82
Palafrugell,40,ES,1594101924,72,41.92,3.16,70.0,3.36
Tonantins,100,BR,1594101924,98,-2.87,-67.8,71.51,2.77
Port-Cartier,20,CA,1594101924,93,50.03,-66.87,46.4,2.24
Point Fortin,71,TT,1594101924,87,10.18,-61.68,79.0,10.38
San Cristobal,85,VE,1594101506,74,7.77,-72.22,66.33,1.21
Linköping,4,SE,1594101924,82,58.41,15.62,55.99,10.29
Paita,96,PE,1594101924,84,-5.09,-81.11,63.97,12.5
Walla Walla,90,US,1594101925,55,46.06,-118.34,69.01,13.87
Pemangkat,100,ID,1594101925,89,1.17,108.97,77.92,13.24
Kristinestad,74,FI,1594101925,88,62.27,21.38,56.32,13.6
San Miguel,99,SV,1594101925,92,13.48,-88.18,73.29,2.53
Katsuura,90,JP,1594101513,87,35.13,140.3,82.0,8.99
Santa Cruz de Tenerife,57,ES,1594101925,31,28.47,-16.25,78.8,12.75
Gladstone,1,AU,1594101925,53,-23.85,151.25,73.4,14.99
Takoradze,99,GH,1594101511,88,4.88,-1.76,76.21,10.0
Aden,36,YE,1594101369,63,12.78,45.04,88.7,1.79
Fort Nelson,75,CA,1594101926,68,58.81,-122.7,64.4,3.36
Solone,6,UA,1594101926,69,48.21,34.87,82.0,2.24
Ribeira Grande,7,PT,1594101498,88,38.52,-28.7,68.02,10.36
Kichera,100,RU,1594101926,35,55.94,110.1,74.7,9.1
Eureka,90,US,1594101926,67,40.8,-124.16,60.8,4.7
Ormara,62,PK,1594101926,77,25.21,64.64,86.68,8.99
Tignère,99,CM,1594101926,100,7.37,12.65,64.27,3.51
Hithadhoo,100,MV,1594101523,75,-0.6,73.08,84.33,16.28
Puerto Padre,40,CU,1594101927,94,21.2,-76.6,78.8,6.93
Tautira,75,PF,1594101696,83,-17.73,-149.15,77.0,6.93
Havøysund,75,NO,1594101927,87,71.0,24.66,48.2,23.04
Novska,75,HR,1594101927,82,45.34,16.98,59.0,4.7
Tarko-Sale,35,RU,1594101927,59,64.92,77.78,80.01,13.27
Bethel,75,US,1594101503,93,41.37,-73.41,66.99,5.03
Tiksi,96,RU,1594101502,88,71.69,128.87,37.72,7.2
Tomatlán,100,MX,1594101543,92,19.93,-105.25,78.12,2.48
Río Duque,37,PA,1594101928,94,9.27,-79.68,79.0,6.93
Walvis Bay,90,NA,1594101522,100,-22.96,14.51,53.01,6.93
Kiryat Gat,2,IL,1594101412,76,31.61,34.76,78.01,5.35
Leningradskiy,97,RU,1594101530,77,69.38,178.42,44.47,3.98
Richards Bay,0,ZA,1594101525,31,-28.78,32.04,62.46,3.83
Suez,0,EG,1594101928,34,29.97,32.53,85.32,1.25
Raudeberg,72,NO,1594101928,76,61.99,5.14,54.0,1.61
Belmonte,75,BR,1594101928,94,-15.86,-38.88,69.8,5.82
Ostrovnoy,32,RU,1594101929,64,68.05,39.51,60.46,26.75
Tilichiki,88,RU,1594101929,75,60.47,166.1,55.11,8.81
Māngrol,95,IN,1594101547,85,21.12,70.12,83.23,24.0
Myitkyina,96,MM,1594101929,83,25.38,97.4,85.77,1.63
Dikson,39,RU,1594101511,60,73.51,80.55,51.3,13.0
Umluj,91,SA,1594101647,32,25.02,37.27,90.61,2.37
Ganzhou,100,CN,1594101929,86,28.82,115.43,83.21,2.46
Moyale,99,KE,1594101930,73,3.52,39.06,65.1,11.07
‘Āhuimanu,20,US,1594101549,65,21.44,-157.84,82.4,11.41
Touros,11,BR,1594101930,100,-5.2,-35.46,69.8,4.7
Wuzhou,100,CN,1594101930,58,23.48,111.32,92.86,8.39
Cravo Norte,83,CO,1594101834,96,6.3,-70.2,72.7,2.15
Bondo,100,CD,1594101930,98,3.81,23.69,70.0,1.12
Kim,0,TJ,1594101930,25,40.21,70.47,86.0,11.18
Tura,25,IN,1594101538,66,25.52,90.22,88.3,7.07
Acajutla,88,SV,1594101931,99,13.59,-89.83,71.01,4.29
Marfino,0,RU,1594101931,69,55.7,37.38,79.0,4.47
Lorengau,38,PG,1594101508,77,-2.02,147.27,84.0,11.25
Berlevåg,75,NO,1594101931,81,70.86,29.09,50.0,20.8
Kailua,20,US,1594101554,65,21.4,-157.74,80.6,11.41
Boshnyakovo,36,RU,1594101931,63,49.63,142.17,67.69,9.51
Vila Velha,0,BR,1594101255,93,-20.33,-40.29,66.0,2.24
Ankazoabo,0,MG,1594101931,45,-22.28,44.52,68.81,6.44
Kachug,53,RU,1594101932,33,53.96,105.88,89.22,1.77
Kirakira,51,SB,1594101515,79,-10.45,161.92,82.36,11.25
Mandalgovi,96,MN,1594101559,18,45.76,106.27,86.85,14.72
Henties Bay,0,NA,1594101532,92,-22.12,14.28,53.01,1.01
Najrān,20,SA,1594101519,23,17.49,44.13,93.2,9.17
Jackson,90,US,1594101902,59,42.42,-122.83,60.8,4.7
Matamoros,0,MX,1594101550,31,25.53,-103.25,84.0,11.36
Yulara,0,AU,1594101558,27,-25.24,130.99,64.4,8.05
Shakhty,0,RU,1594101933,33,47.71,40.21,87.8,13.42
